SYS3
----

---------------------------------------
Data Format: Time-between-failures data
(time unit in seconds)
---------------------------------------
Column1: Failure Number
Column2: Time-To-Failure
---------------------------------------

1	39
2	10
3	4
4	36
5	4
6	5
7	4
8	91
9	49
10	1
11	25
12	1
13	4
14	30
15	42
16	9
17	49
18	44
19	32
20	3
21	78
22	1
23	30
24	205
25	5
26	129
27	103
28	224
29	186
30	53
31	14
32	9
33	2
34	10
35	1
36	34
37	170
38	129
39	4
40	4
41	35
42	5
43	5
44	22
45	36
46	35
47	121
48	23
49	33
50	48
51	32
52	21
53	4
54	23
55	9
56	13
57	165
58	14
59	22
60	41
61	12
62	138
63	95
64	49
65	62
66	2
67	35
68	89
69	90
70	69
71	22
72	15
73	19
74	42
75	14
76	11
77	41
78	210
79	16
80	30
81	37
82	66
83	9
84	16
85	14
86	24
87	12
88	159
89	89
90	118
91	29
92	21
93	18
94	2
95	114
96	37
97	46
98	17
99	1
100	150
101	382
102	160
103	66
104	206
105	9
106	26
107	62
108	239
109	13
110	4
111	85
112	85
113	240
114	178
115	34
116	102
117	9
118	146
119	59
120	48
121	25
122	25
123	111
124	5
125	31
126	51
127	6
128	193
129	27
130	25
131	96
132	26
133	30
134	30
135	17
136	320
137	78
138	39
139	13
140	13
141	19
142	128
143	34
144	84
145	40
146	177
147	349
148	274
149	82
150	58
151	31
152	114
153	39
154	88
155	84
156	232
157	108
158	38
159	86
160	7
161	22
162	80
163	239
164	3
165	39
166	63
167	152
168	63
169	80
170	245
171	196
172	46
173	152
174	102
175	9
176	228
177	220
178	208
179	78
180	3
181	83
182	6
183	212
184	91
185	3
186	10
187	172
188	21
189	173
190	371
191	40
192	48
193	126
194	90
195	149
196	30
197	317
198	500
199	673
200	432
201	66
202	168
203	66
204	66
205	128
206	49
207	332

