CSR3
----

-----------------------------------------
Data Format 1: Time-between-failures data
-----------------------------------------
Column1: Failure Number
Column2: Time-To-Failure
-----------------------------------------

1	33
2	9
3	4
4	66
5	0.5
6	18
7	149
8	14
9	15
10	50
11	81
12	34
13	85
14	54
15	3
16	15
17	6
18	8
19	130
20	19
21	19
22	112
23	15
24	16
25	154
26	50
27	10
28	2
29	22
30	53
31	19
32	58
33	20
34	3
35	92
36	5
37	66
38	289
39	3
40	9
41	12
42	18
43	9
44	75
45	15
46	291
47	212
48	4
49	5
50	308
51	269
52	276
53	1
54	400
55	294
56	227
57	118
58	13
59	47
60	89
61	242
62	99
63	607
64	83
65	2
66	26
67	586
68	708
69	6
70	4
71	55
72	409
73	36
74	15
75	573
76	583
77	60
78	19
79	20
80	79
81	24
82	540
83	52
84	1596
85	314
86	1
87	763
88	10
89	20
90	144
91	28
92	56
93	476
94	65
95	98
96	884
97	212
98	287
99	53
100	3
101	831
102	43
103	55
104	109

