S27
---

---------------------------------------
Data Format: Time-between-failures data
(time unit in seconds)
---------------------------------------
Column1: Failure Number
Column2: Time-To-Failure
---------------------------------------

1	20336
2	11776
3	40933
4	34794
5	17136
6	148446
7	7995
8	1636
9	15830
10	21932
11	2485
12	11000
13	2880
14	61182
15	4800
16	38005
17	16200
18	6000
19	1000
20	10000
21	220
22	35580
23	81000
24	643095
25	47857
26	154800
27	170460
28	108540
29	73800
30	1860
31	336600
32	268140
33	74880
34	286200
35	25320
36	7080
37	59820
38	87900
39	76200
40	89280
41	1209600

