DataSet 1
---------

Field data from a large release of a telecommunications switch software. 

Date is calendar-time. 

Format:

Column1: Date
Column2: %Cum SW Failures
Column3: %Cum Usage Time
Column4: %Sites 

%Cum SW Failures is the percentage of the total 
          number of software failure experienced in the 
          calendar interval reported in the table,  
%Cum Usage Time is the percentage of the total in-service time 
          accumulated over the calendar interval reported, and 
%Sites is the percentage of sites that have this version of the software
          release loaded on a given date.

Note that the data set has been normalized to protect proprietary information.


-----------------------------
Column1: Date
Column2: %Cum SW Failures
Column3: %Cum Usage Time
Column4: %Sites
-----------------------------

0	0	0.0	2
1	1	0.1	2
2	1	0.1	2
3	1	0.1	2
4	1	0.1	2
5	1	0.2	2
6	2	0.2	3
7	2	0.2	3
8	2	0.3	4
9	2	0.3	5
10	2	0.4	5
11	3	0.4	6
12	4	0.5	7
13	4	0.6	7
14	5	0.7	9
15	7	0.8	13
16	7	1.0	16
17	8	1.1	16
18	9	1.5	17
19	10	1.7	19
20	10	2.0	22
21	11	2.2	25
22	13	2.6	29
23	14	2.9	33
24	16	3.3	37
25	17	3.8	41
26	18	4.3	46
27	20	4.8	49
28	22	5.4	54
29	25	6.1	56
30	26	6.7	60
31	28	7.4	63
32	30	8.2	65
33	32	8.9	67
34	33	9.7	69
35	35	10.5	70
36	35	11.4	73
37	38	12.2	75
38	39	13.1	76
39	40	14.0	78
40	42	14.9	81
41	44	15.8	83
42	45	16.8	85
43	47	17.8	86
44	49	18.8	88
45	50	19.8	90
46	52	20.9	92
47	54	21.9	94
48	55	23.0	95
49	56	24.1	96
50	57	25.2	96
51	58	26.3	95
52	59	27.4	95
53	60	28.5	95
54	60	29.6	96
55	63	30.7	98
56	64	31.9	98
57	65	33.0	99
58	66	34.1	99
59	67	35.3	99
60	69	36.4	99
61	70	37.6	99
62	70	38.7	99
63	72	39.9	100
64	73	41.0	99
65	74	42.1	99
66	75	43.3	99
67	76	44.4	99
68	77	45.6	100
69	77	46.7	100
70	77	47.9	99
71	79	49.0	98
72	79	50.2	97
73	80	51.3	95
74	81	52.4	95
75	82	53.4	93
76	83	54.5	91
77	83	55.5	90
78	84	56.6	89
79	85	57.6	88
80	85	58.6	85
81	86	59.6	82
82	86	60.5	80
83	87	61.4	78
84	87	62.3	78
85	88	63.2	76
86	88	64.1	75
87	89	64.9	74
88	89	65.8	72
89	90	66.6	71
90	90	67.4	71
91	90	68.2	69
92	91	69.0	68
93	91	69.8	67
94	92	70.5	65
95	92	71.3	64
96	92	72.0	63
97	92	72.7	62
98	93	73.4	61
99	93	74.1	61
100	93	74.8	60
101	94	75.5	59
102	94	76.2	59
103	95	76.9	58
104	95	77.5	57
105	95	78.2	56
106	96	78.8	54
107	96	79.4	53
108	97	80.0	52
109	97	80.6	50
110	97	81.2	48
111	97	81.7	48
112	98	82.3	47
113	98	82.8	46
114	98	83.3	45
115	98	83.9	45
116	98	84.4	45
117	98	84.9	42
118	98	85.3	40
119	98	85.8	39
120	98	86.3	38
121	98	86.6	38
122	98	87.1	37
123	98	87.5	37
124	98	87.9	36
125	98	88.3	36
126	98	88.7	35
127	99	89.1	34
128	99	89.5	34
129	99	89.9	33
130	100	90.3	32
131	100	90.7	31
132	100	91.0	30
133	100	91.4	30
134	100	91.7	29
135	100	92.0	28
136	100	92.3	27
137	100	92.7	27
138	100	93.0	25
139	100	93.2	25
140	100	93.5	24

