J5
--

-------------------------------
Data Format: Failure-count data
(time unit in weeks)
-------------------------------
Column1: Time Interval 
Column2: Number of Failures
-------------------------------

  1	2
  2	0
  3	2
  4	3
  5	3
  6	6
  7	8
  8	8
  9	12
 10	10
 11	6
 12	5
 13	4
 14	6
 15	10
 16	6
 17	7
 18	10
 19	10
 20	6
 21	2
 22	3
 23	2
 24	3
 25	8
 26	6
 27	7
 28	8
 29	2
 30	3
 31	4
 32	3
 33	3
 34	4
 35	4
 36	5
 37	4
 38	4
 39	5
 40	1
 41	4
 42	8
 43	3
 44	2
 45	6
 46	13
 47	9
 48	6
 49	7
 50	3
 51	3
 52	4
 53	5
 54	6
 55	6
 56	5
 57	5
 58	3
 59	4
 60	8
 61	3
 62	4
 63	5
 64	6
 65	0
 66	4
 67	5
 68	4
 69	5
 70	5
 71	5
 72	3
 73	3

